"recently",64,"g<U+1EA7>n dây"
"space",64,"không gian"
"manager",63,"ngu<U+1EDD>i qu<U+1EA3>n lý"
"word",63,"t<U+1EEB>"
"book",62,"sách"
"restaurant",62,"quán an"
"street",62,"du<U+1EDD>ng ph<U+1ED1>"
"day",61,"ngày"
"reading",61,"d<U+1ECD>c hi<U+1EC3>u"
"offer",60,"ph<U+1EE5>c v<U+1EE5>"
"travel",60,"du l<U+1ECB>ch"
"purchase",59,"mua"
"texts",59,"van b<U+1EA3>n"
"november",58,"tháng Mu<U+1EDD>i M<U+1ED9>t"
"select",58,"l<U+1EF1>a ch<U+1ECD>n"
"set",58,"b<U+1ED9>"
"food",57,"d<U+1ED3> an"
"include",56,"bao g<U+1ED3>m"
"provide",56,"cung c<U+1EA5>p"
"review",56,"ôn t<U+1EAD>p"
"position",55,"Ch<U+1EE9>c v<U+1EE5>"
"visit",55,"chuy<U+1EBF>n tham"
"people",54,"M<U+1ECD>i ngu<U+1EDD>i"
"read",54,"d<U+1ECD>c"
"system",54,"h<U+1EC7> th<U+1ED1>ng"
"design",53,"thi<U+1EBF>t k<U+1EBF>"
"free",53,"mi<U+1EC5>n phí"
"march",53,"tháng Ba"
"report",52,"b<U+1EA3>n báo cáo"
"park",51,"công viên"
"price",51,"giá bán"
"additional",49,"thêm vào"
"attend",49,"tham d<U+1EF1>"
"hours",49,"gi<U+1EDD>"
"check",48,"dánh d<U+1EA5>u"
"experience",48,"kinh nghi<U+1EC7>m"
"location",48,"v<U+1ECB> trí"
"marketing",48,"ti<U+1EBF>p th<U+1ECB>"
"program",48,"chuong trình"
"received",48,"nh<U+1EAD>n"
"meet",47,"g<U+1EB7>p nhau"
"notice",47,"luu ý"
"call",46,"g<U+1ECD>i"
"delivery",46,"chuy<U+1EC3>n"
"friday",46,"th<U+1EE9> sáu"
"plan",46,"k<U+1EBF> ho<U+1EA1>ch"
"positions",46,"ch<U+1EE9>c v<U+1EE5>"
"center",45,"Trung tâm"
"community",45,"c<U+1ED9>ng d<U+1ED3>ng"
"located",45,"n<U+1EB1>m"
"purpose",45,"m<U+1EE5>c dích"
"sincerely",45,"Trân tr<U+1ECD>ng"
"software",45,"ph<U+1EA7>n m<U+1EC1>m"
"train",45,"tàu h<U+1ECF>a"
"director",44,"giám d<U+1ED1>c"
"july",44,"tháng B<U+1EA3>y"
"management",44,"ban qu<U+1EA3>n lý"
"scheduled",44,"lên k<U+1EBF> ho<U+1EA1>ch"
"september",44,"tháng 9"
"services",44,"d<U+1ECB>ch v<U+1EE5>"
"details",43,"thông tin chi ti<U+1EBF>t"
"offers",43,"d<U+1EC1> ngh<U+1ECB>"
"cost",42,"Giá c<U+1EA3>"
"special",42,"d<U+1EB7>c bi<U+1EC7>t"
"water",42,"nu<U+1EDB>c"
"minutes",41,"phút"
"october",41,"Tháng Mu<U+1EDD>i"
"purchased",41,"dã mua"
"return",41,"tr<U+1EDF> l<U+1EA1>i"
"tickets",41,"vé"
"monday",40,"th<U+1EE9> hai"
"parking",40,"bãi d<U+1EAD>u xe"
"question",40,"câu h<U+1ECF>i"
"university",40,"tru<U+1EDD>ng d<U+1EA1>i h<U+1ECD>c"
"closest",39,"g<U+1EA7>n nh<U+1EA5>t"
"days",39,"ngày"
"news",39,"Tin t<U+1EE9>c"
"ticket",39,"vé"
"change",38,"thay d<U+1ED5>i"
"logo",38,"Logo"
"message",38,"thông di<U+1EC7>p"
"missing",38,"m<U+1EA5>t tích"
"recent",38,"g<U+1EA7>n dây"
"required",38,"yêu c<U+1EA7>u"
"announce",37,"thông báo"
"employee",37,"Nhân viên"
"marked",37,"dánh d<U+1EA5>u"
"shipping",37,"Ðang chuy<U+1EC3>n hàng"
"shop",37,"c<U+1EED>a ti<U+1EC7>m"
"variety",37,"da d<U+1EA1>ng"
"advertising",36,"Qu<U+1EA3>ng cáo"
"development",36,"s<U+1EF1> phát tri<U+1EC3>n"
"discount",36,"chi<U+1EBF>t kh<U+1EA5>u"
"materials",36,"v<U+1EAD>t li<U+1EC7>u"
"meaning",36,"Ý nghia"
"public",36,"công c<U+1ED9>ng"
"submit",36,"G<U+1EED>i di"
"computer",35,"máy vi tính"
"firm",35,"ch<U+1EAF>c ch<U+1EAF>n"
"follow",35,"theo dõi"
"morning",35,"bu<U+1ED5>i sáng"
"paragraph",35,"do<U+1EA1>n van"
"past",35,"quá kh<U+1EE9>"
"saturday",35,"Th<U+1EE9> b<U+1EA3>y"
"trip",35,"chuy<U+1EBF>n di choi"
"type",35,"ki<U+1EC3>u"
"august",34,"dáng kính tr<U+1ECD>ng"
"class",34,"l<U+1EDB>p"
"clients",34,"khách hàng"
"completed",34,"hoàn thành"
"equipment",34,"Trang thi<U+1EBF>t b<U+1ECB>"
"events",34,"s<U+1EF1> ki<U+1EC7>n"
"february",34,"Tháng hai"
"forward",34,"phía tru<U+1EDB>c"
"january",34,"Tháng m<U+1ED9>t"
"phone",34,"di<U+1EC7>n tho<U+1EA1>i"
"presentation",34,"bài thuy<U+1EBF>t trình"
"addition",33,"thêm vào"
"belong",33,"thu<U+1ED9>c v<U+1EC1>"
"bus",33,"xe buýt"
"choices",33,"s<U+1EF1> l<U+1EF1>a ch<U+1ECD>n"
"current",33,"hi<U+1EC7>n hành"
"financial",33,"tài chính"
"maintenance",33,"S<U+1EF1> b<U+1EA3>o trì"
"months",33,"tháng"
"note",33,"Ghi chú"
"phrase",33,"c<U+1EE5>m t<U+1EEB>"
"prices",33,"giá c<U+1EA3>"
"quality",33,"ch<U+1EA5>t lu<U+1EE3>ng"
"TRUE",33,"TH<U+1EAC>T"
"company's",32,"c<U+1EE7>a công ty"
"resources",32,"tài nguyên"
"size",32,"kích thu<U+1EDB>c"
"visitors",32,"khách"
"writes",32,"vi<U+1EBF>t"
"advertisement",31,"Qu<U+1EA3>ng cáo"
"ago",31,"tru<U+1EDB>c kia"
"found",31,"tìm"
"interview",31,"bu<U+1ED5>i ph<U+1ECF>ng v<U+1EA5>n"
"list",31,"danh sách"
"mails",31,"thu t<U+1EEB>"
"offered",31,"ng<U+1ECF> ý"
"process",31,"ti<U+1EBF>n trình"
"research",31,"nghiên c<U+1EE9>u"
"residents",31,"cu dân"
"skills",31,"k<U+1EF9> nang"
"workshop",31,"xu<U+1EDF>ng"
"answers",30,"câu tr<U+1EA3> l<U+1EDD>i"
"arrive",30,"d<U+1EBF>n"
"begin",30,"b<U+1EAF>t d<U+1EA7>u"
"client",30,"khách hàng"
"expected",30,"k<U+1EF3> v<U+1ECD>ng"
"features",30,"Tính nang, d<U+1EB7>c di<U+1EC3>m"
"floor",30,"sàn nhà"
"includes",30,"bao g<U+1ED3>m"
"library",30,"thu vi<U+1EC7>n"
"pleased",30,"v<U+1EEB>a lòng"
"support",30,"<U+1EE7>ng h<U+1ED9>"
"construction",29,"s<U+1EF1> thi công"
"due",29,"quá h<U+1EA1>n"
"held",29,"dã t<U+1ED5> ch<U+1EE9>c"
"hired",29,"thuê"
"lunch",29,"B<U+1EEF>a trua"
"market",29,"th<U+1ECB> tru<U+1EDD>ng"
"property",29,"b<U+1EA5>t d<U+1ED9>ng s<U+1EA3>n"
"station",29,"tr<U+1EA1>m"
"survey",29,"s<U+1EF1> kh<U+1EA3>o sát"
"access",28,"truy c<U+1EAD>p"
"account",28,"tài kho<U+1EA3>n"
"annual",28,"hàng nam"
"assistant",28,"ph<U+1EE5> tá"
"award",28,"ph<U+1EA7>n thu<U+1EDF>ng"
"cm",28,"cm"
"color",28,"màu s<U+1EAF>c"
"companies",28,"các công ty"
"discuss",28,"bàn lu<U+1EAD>n"
"hope",28,"mong"
"limited",28,"gi<U+1EDB>i h<U+1EA1>n"
"museum",28,"b<U+1EA3>o tàng"
"popular",28,"ph<U+1ED5> bi<U+1EBF>n"
"production",28,"s<U+1EA3>n xu<U+1EA5>t"
"sale",28,"doanh thu"
"times",28,"l<U+1EA7>n"
"address",27,"Ð<U+1ECB>a ch<U+1EC9>"
"budget",27,"ngân sách"
"businesses",27,"các doanh nghi<U+1EC7>p"
"called",27,"g<U+1ECD>i là"
"closed",27,"dóng c<U+1EED>a"
"corporate",27,"công ty"
"dr",27,"NS"
"guest",27,"khách"
"london",27,"London"
"newspaper",27,"báo chí"
"policy",27,"chính sách"
"write",27,"vi<U+1EBF>t"
"advance",26,"ti<U+1EBF>n b<U+1ED9>"
"based",26,"d<U+1EF1>a trên"
"care",26,"quan tâm"
"confirm",26,"xác nh<U+1EAD>n"
"corporation",26,"t<U+1EAD>p doàn"
"daily",26,"h<U+1EB1>ng ngày"
"encouraged",26,"d<U+1ED9>ng viên"
"facilities",26,"co s<U+1EDF>"
"final",26,"cu<U+1ED1>i cùng"
"future",26,"Tuong lai"
"happy",26,"sung su<U+1EDB>ng"
"http",26,"http"
"increase",26,"tang"
"mall",26,"Trung tâm mua s<U+1EAF>m"
"meetings",26,"các cu<U+1ED9>c h<U+1ECD>p"
"music",26,"Âm nh<U+1EA1>c"
"opportunity",26,"co h<U+1ED9>i"
"plans",26,"các k<U+1EBF> ho<U+1EA1>ch"
"president",26,"ch<U+1EE7> t<U+1ECB>ch"
"successful",26,"thành công"
"summer",26,"mùa hè"
"technology",26,"Công ngh<U+1EC7>"
"tour",26,"chuy<U+1EBF>n du l<U+1ECB>ch"
"upcoming",26,"s<U+1EAF>p t<U+1EDB>i"
"__",25,"__"
"art",25,"ngh<U+1EC7> thu<U+1EAD>t"
"attached",25,"dính kèm"
"board",25,"b<U+1EA3>ng"
"chef",25,"b<U+1EBF>p tru<U+1EDF>ng"
"choose",25,"l<U+1EF1>a ch<U+1ECD>n"
"clothing",25,"qu<U+1EA7>n áo"
"contract",25,"h<U+1EE3>p d<U+1ED3>ng"
"creative",25,"sáng t<U+1EA1>o"
"enjoy",25,"vui thích"
"festival",25,"ngày h<U+1ED9>i"
"human",25,"Nhân lo<U+1EA1>i"
"including",25,"bao g<U+1ED3>m"
"instructions",25,"hu<U+1EDB>ng d<U+1EAB>n"
"international",25,"Qu<U+1ED1>c t<U+1EBF>"
"learn",25,"h<U+1ECD>c"
"media",25,"phuong ti<U+1EC7>n truy<U+1EC1>n thông"
"medical",25,"Y khoa"
"owners",25,"nh<U+1EEF>ng ch<U+1EE7> s<U+1EDF> h<U+1EEF>u"
"participants",25,"nh<U+1EEF>ng ngu<U+1EDD>i tham gia"
"percent",25,"ph<U+1EA7>n tram"
"person",25,"ngu<U+1EDD>i"
"print",25,"in"
"stay",25,"<U+1EDF> l<U+1EA1>i"
"transportation",25,"v<U+1EAD>n chuy<U+1EC3>n"
"updated",25,"c<U+1EAD>p nh<U+1EAD>t"
"card",24,"Th<U+1EBB>"
"express",24,"th<U+1EC3> hi<U+1EC7>n"
"finish",24,"k<U+1EBF>t thúc"
"professional",24,"cao th<U+1EE7>"
"safety",24,"s<U+1EF1> an toàn"
"security",24,"B<U+1EA3>o v<U+1EC7>"
"stores",24,"c<U+1EED>a hàng"
"supplies",24,"quân nhu"
"tuesday",24,"Th<U+1EE9> ba"
"blue",23,"màu xanh duong"
"car",23,"xe ô tô"
"chat",23,"trò chuy<U+1EC7>n"
"close",23,"g<U+1EA7>n"
"desk",23,"bàn"
"fee",23,"phí"
"feedback",23,"Ph<U+1EA3>n h<U+1ED3>i"
"glass",23,"th<U+1EE7>y tinh"
"health",23,"S<U+1EE9>c kh<U+1ECF>e"
"original",23,"nguyên b<U+1EA3>n"
"regular",23,"thu<U+1EDD>ng xuyên"
"road",23,"du<U+1EDD>ng b<U+1ED9>"
"session",23,"phiên h<U+1ECD>p"
"sign",23,"ký tên"
"sold",23,"dã bán"
"sponsor",23,"tài tr<U+1EE3>"
"suggest",23,"g<U+1EE3>i ý"
"units",23,"các don v<U+1ECB>"
"added",22,"thêm"
"afternoon",22,"bu<U+1ED5>i chi<U+1EC1>u"
"announced",22,"công b<U+1ED1>"
"cover",22,"che"
"description",22,"s<U+1EF1> mô t<U+1EA3>"
"discussion",22,"th<U+1EA3>o lu<U+1EAD>n"
"employment",22,"thuê ngu<U+1EDD>i làm"
"engineering",22,"k<U+1EF9> thu<U+1EAD>t"
"flight",22,"chuy<U+1EBF>n bay"
"green",22,"màu xanh lá"
"guests",22,"khách"
"history",22,"Môn l<U+1ECB>ch s<U+1EED>"
"hour",22,"gi<U+1EDD>"
"industry",22,"ngành công nghi<U+1EC7>p"
"level",22,"c<U+1EA5>p d<U+1ED9>"
"magazine",22,"t<U+1EA1>p chí"
"main",22,"ch<U+1EE7> ch<U+1ED1>t"
"messages",22,"tin nh<U+1EAF>n"
"paper",22,"gi<U+1EA5>y"
"proposal",22,"d<U+1EC1> ngh<U+1ECB>"
"ready",22,"S<U+1EB5>n sàng"
"reservation",22,"D<U+1EF1> phòng"
"sessions",22,"phiên h<U+1ECD>p"
"south",22,"mi<U+1EC1>n Nam"
"start",22,"b<U+1EAF>t d<U+1EA7>u"
"stop",22,"ng<U+1EEB>ng l<U+1EA1>i"
"taking",22,"dang l<U+1EA5>y"
"total",22,"toàn b<U+1ED9>"
"agenda",21,"chuong trình ngh<U+1ECB> s<U+1EF1>"
"air",21,"không khí"
"airport",21,"sân bay"
"allowed",21,"cho phép"
"apply",21,"<U+1EE9>ng d<U+1EE5>ng"
"bicycle",21,"Xe d<U+1EA1>p"
"box",21,"h<U+1ED9>p"
"charge",21,"sa<U+0323>c diê<U+0323>n"
"continue",21,"ti<U+1EBF>p t<U+1EE5>c"
"create",21,"t<U+1EA1>o ra"
"december",21,"tháng 12"
"electronic",21,"di<U+1EC7>n t<U+1EED>"
"entire",21,"toàn b<U+1ED9>"
"excellent",21,"thông minh"
"furniture",21,"d<U+1ED3> n<U+1ED9>i th<U+1EA5>t"
"increased",21,"tang"
"issue",21,"phát hành"
"left",21,"bên trái"
"locations",21,"d<U+1ECB>a di<U+1EC3>m"
"opportunities",21,"nh<U+1EEF>ng co h<U+1ED9>i"
"posted",21,"dã dang"
"press",21,"nh<U+1EA5>n"
"printing",21,"in <U+1EA5>n"
"quickly",21,"Mau"
"selection",21,"s<U+1EF1> l<U+1EF1>a ch<U+1ECD>n"
"tomorrow",21,"ngày mai"
"top",21,"d<U+1EE9>ng d<U+1EA7>u"
"unit",21,"don v<U+1ECB>"
"wednesday",21,"th<U+1EE9> Tu"
"attachment",20,"t<U+1EAD>p tin dính kèm"
"black",20,"màu den"
"bring",20,"mang d<U+1EBF>n"
"council",20,"h<U+1ED9>i d<U+1ED3>ng"
"field",20,"d<U+1ED3>ng ru<U+1ED9>ng"
"included",20,"bao g<U+1ED3>m"
"inform",20,"báo"
"join",20,"tham gia"
"leave",20,"r<U+1EDD>i b<U+1ECF>"
"lee",20,"lee"
"options",20,"tùy ch<U+1ECD>n"
"owner",20,"ch<U+1EE7> nhân"
"performance",20,"màn bi<U+1EC3>u di<U+1EC5>n"
"previous",20,"Tru<U+1EDB>c"
"restaurants",20,"nhà hàng"
"results",20,"k<U+1EBF>t qu<U+1EA3>"
"run",20,"ch<U+1EA1>y"
"style",20,"Phong cách"
"writing",20,"vi<U+1EBF>t"
"apparel",19,"may m<U+1EB7>c"
"degree",19,"trình d<U+1ED9>"
"designed",19,"thi<U+1EBF>t k<U+1EBF>"
"digital",19,"k<U+1EF9> thu<U+1EAD>t s<U+1ED1>"
"easy",19,"d<U+1EC5>"
"ensure",19,"ch<U+1EAF>c ch<U+1EAF>n"
"feature",19,"d<U+1EB7>c tính"
"instant",19,"l<U+1EAD>p t<U+1EE9>c"
"invitation",19,"l<U+1EDD>i m<U+1EDD>i"
"offering",19,"chào bán"
"package",19,"Buu ki<U+1EC7>n"
"personal",19,"cá nhân"
"photographs",19,"nh<U+1EEF>ng b<U+1EE9>c <U+1EA3>nh"
"printers",19,"máy in"
"projects",19,"d<U+1EF1> án"
"students",19,"sinh viên"
"success",19,"s<U+1EF1> thành công"
"supply",19,"cung c<U+1EA5>p"
"update",19,"c<U+1EAD>p nh<U+1EAD>t"
"world",19,"th<U+1EBF> gi<U+1EDB>i"
"agent",18,"d<U+1EA1>i lý"
"application",18,"<U+1EE9>ng d<U+1EE5>ng"
"articles",18,"bài vi<U+1EBF>t"
"benefit",18,"du<U+1EE3>c hu<U+1EDF>ng l<U+1EE3>i"
"campus",18,"khuôn viên"
"chain",18,"chu<U+1ED7>i"
"clean",18,"d<U+1ECD>n d<U+1EB9>p"
"copy",18,"sao chép"
"dinner",18,"b<U+1EEF>a an t<U+1ED1>i"
"district",18,"qu<U+1EAD>n"
"editor",18,"biên t<U+1EAD>p viên"
"enter",18,"di vào"
"family",18,"gia dình"
"fashion",18,"th<U+1EDD>i trang"
"featured",18,"d<U+1EB7>c s<U+1EAF>c"
"focus",18,"tiêu di<U+1EC3>m"
"hiring",18,"tuy<U+1EC3>n d<U+1EE5>ng"
"house",18,"nhà <U+1EDF>"
"idea",18,"ý ki<U+1EBF>n"
"industrial",18,"công nghi<U+1EC7>p"
"intended",18,"d<U+1EF1> d<U+1ECB>nh"
"kim",18,"kim"
"lost",18,"m<U+1EA5>t"
"memo",18,"ba<U+0309>n ghi nh<U+1EDB>"
"menu",18,"th<U+1EF1>c don"
"planning",18,"l<U+1EAD>p k<U+1EBF> ho<U+1EA1>ch"
"radio",18,"Ðài"
"recommend",18,"gi<U+1EDB>i thi<U+1EC7>u"
"repair",18,"s<U+1EED>a"
"retail",18,"bán l<U+1EBB>"
"school",18,"tru<U+1EDD>ng h<U+1ECD>c"
"share",18,"dang l<U+1EA1>i"
"shopping",18,"mua d<U+1ED3>"
"shuttle",18,"dua dón"
"strong",18,"m<U+1EA1>nh"
"workers",18,"công nhân"
"___",17,"___"
"accounting",17,"k<U+1EBF> toán"
"approved",17,"dã du<U+1EE3>c phê duy<U+1EC7>t"
"arrived",17,"dã d<U+1EBF>n"
"awards",17,"gi<U+1EA3>i thu<U+1EDF>ng"
"books",17,"sách"
"brown",17,"màu nâu"
"buildings",17,"các tòa nhà"
"cafe",17,"quán cà phê"
"classes",17,"các l<U+1EDB>p h<U+1ECD>c"
"concerns",17,"m<U+1ED1>i quan tâm"
"coupon",17,"phi<U+1EBF>u mua hàng"
"decided",17,"quy<U+1EBF>t d<U+1ECB>nh"
"designs",17,"ki<U+1EC3>u dáng"
"evening",17,"bu<U+1ED5>i t<U+1ED1>i"
"exhibition",17,"tri<U+1EC3>n lãm"
"jobs",17,"vi<U+1EC7>c làm"
"late",17,"mu<U+1ED9>n"
"lot",17,"nhi<U+1EC1>u"
"mentioned",17,"d<U+1EC1> c<U+1EAD>p"
"previously",17,"tru<U+1EDB>c dây"
"refund",17,"Hoàn ti<U+1EC1>n"
"regularly",17,"thu<U+1EDD>ng xuyên"
"release",17,"phóng thích"
"responsible",17,"ch<U+1ECB>u trách nhi<U+1EC7>m"
"season",17,"Mùa"
"separate",17,"riêng r<U+1EBD>"
"social",17,"xã h<U+1ED9>i"
"spaces",17,"không gian"
"storage",17,"kho"
"supervisor",17,"ngu<U+1EDD>i giám sát"
"thursday",17,"Th<U+1EE9> nam"
"traffic",17,"giao thông"
"types",17,"các lo<U+1EA1>i"
"amount",16,"s<U+1ED1> lu<U+1EE3>ng"
"applicants",16,"ngu<U+1EDD>i n<U+1ED9>p don"
"arrange",16,"s<U+1EAF>p x<U+1EBF>p"
"artists",16,"ngh<U+1EC7> si"
"avenue",16,"d<U+1EA1>i l<U+1ED9>"
"bay",16,"V<U+1ECB>nh"
"benefits",16,"nh<U+1EEF>ng l<U+1EE3>i ích"
"children",16,"b<U+1ECD>n tr<U+1EBB>"
"code",16,"mã s<U+1ED1>"
"coming",16,"dang t<U+1EDB>i"
"division",16,"phân công"
"downtown",16,"Trung tâm thành ph<U+1ED1>"
"fine",16,"t<U+1ED1>t"
"fresh",16,"m<U+1EDB>i"
"gardens",16,"khu vu<U+1EDD>n"
"hall",16,"d<U+1EA1>i s<U+1EA3>nh"
"ideas",16,"ý tu<U+1EDF>ng"
"images",16,"hình <U+1EA3>nh"
"lead",16,"ch<U+1EC9> huy"
"lj",16,"lj"
"night",16,"dêm"
"º",16,""
"paid",16,"tr<U+1EA3>"
"pay",16,"ti<U+1EC1>n luong"
"promote",16,"khuy<U+1EBF>n khích"
"provided",16,"cung c<U+1EA5>p"
"range",16,"ph<U+1EA1>m vi"
"representative",16,"Tiêu bi<U+1EC3>u"
"requires",16,"dòi h<U+1ECF>i"
"serve",16,"ph<U+1EE5>c v<U+1EE5>"
"specific",16,"riêng"
"temporary",16,"t<U+1EA1>m th<U+1EDD>i"
"town",16,"th<U+1ECB> tr<U+1EA5>n"
"weeks",16,"tu<U+1EA7>n"
"year's",16,"nam"
"agency",15,"hang"
"agreement",15,"h<U+1EE3>p d<U+1ED3>ng"
"arrangements",15,"s<U+1EF1> s<U+1EAF>p x<U+1EBF>p"
"attendees",15,"ngu<U+1EDD>i tham d<U+1EF1>"
"bank",15,"ngân hàng"
"ceo",15,"CEO"
"created",15,"t<U+1EA1>o"
"east",15,"phía dông"
"expensive",15,"d<U+1EAF>t ti<U+1EC1>n"
"explain",15,"gi<U+1EA3>i thích"
"factory",15,"xu<U+1EDF>ng s<U+1EA3>n xu<U+1EA5>t"
"garden",15,"sân vu<U+1EDD>n"
"growing",15,"phát tri<U+1EC3>n"
"headquarters",15,"tr<U+1EE5> s<U+1EDF> chính"
"ideal",15,"lý tu<U+1EDF>ng"
"inquire",15,"h<U+1ECF>i tham"
"internet",15,"Internet"
"introduce",15,"gi<U+1EDB>i thi<U+1EC7>u"
"invited",15,"du<U+1EE3>c m<U+1EDD>i"
"lease",15,"cho thuê"
"listed",15,"li<U+1EC7>t kê"
"membership",15,"thành viên"
"monthly",15,"hàng tháng"
"move",15,"di chuy<U+1EC3>n"
"photography",15,"nhi<U+1EBF>p <U+1EA3>nh"
"pieces",15,"mi<U+1EBF>ng"
"policies",15,"chính sách"
"post",15,"bài dang"
"prepare",15,"chu<U+1EA9>n b<U+1ECB>"
"rent",15,"thuê"
"rental",15,"cho thuê"
"requested",15,"yêu c<U+1EA7>u"
"reserved",15,"d<U+1EC3> dành"
"resume",15,"b<U+1EA3>n tóm t<U+1EAF>t"
"solutions",15,"các gi<U+1EA3>i pháp"
"square",15,"Qu<U+1EA3>ng tru<U+1EDD>ng"
"st",15,"NS"
"started",15,"dã b<U+1EAF>t d<U+1EA7>u"
"tech",15,"công ngh<U+1EC7>"
"trail",15,"du<U+1EDD>ng mòn"
"version",15,"phiên b<U+1EA3>n"
"written",15,"b<U+1EB1>ng van b<U+1EA3>n"
"____",14,"____"
"advertise",14,"Qu<U+1EA3>ng cáo"
"assist",14,"h<U+1ED7> tr<U+1EE3>"
"attending",14,"tham d<U+1EF1>"
"author",14,"tác gi<U+1EA3>"
"beautiful",14,"xinh d<U+1EB9>p"
"beginning",14,"b<U+1EAF>t d<U+1EA7>u"
"bright",14,"sáng"
"career",14,"ngh<U+1EC1> nghi<U+1EC7>p"
"city's",14,"thành ph<U+1ED1>"
"closing",14,"dóng c<U+1EED>a"
"comments",14,"bình lu<U+1EAD>n"
"completion",14,"hoàn thành"
"comprehension",14,"bao quát"
"costs",14,"chi phí"
"crew",14,"phi hành doàn"
"daniel",14,"daniel"
"decision",14,"phán quy<U+1EBF>t"
"desks",14,"bàn làm vi<U+1EC7>c"
"directly",14,"tr<U+1EF1>c ti<U+1EBF>p"
"documents",14,"các tài li<U+1EC7>u"
"entrance",14,"c<U+1ED5>ng vào"
"expanding",14,"m<U+1EDF> r<U+1ED9>ng"
"fair",14,"công b<U+1EB1>ng"
"fit",14,"Phù h<U+1EE3>p"
"fund",14,"qu<U+1EF9>"
"host",14,"t<U+1ED5> ch<U+1EE9>c"
"improve",14,"c<U+1EA3>i thi<U+1EC7>n"
"ink",14,"m<U+1EF1>c"
"instructors",14,"ngu<U+1EDD>i hu<U+1EDB>ng d<U+1EAB>n"
"invoice",14,"hóa don"
"kitchen",14,"phòng b<U+1EBF>p"
"led",14,"d<U+1EAB>n d<U+1EBF>n"
"luggage",14,"Hành lý"
"managers",14,"nh<U+1EEF>ng ngu<U+1EDD>i qu<U+1EA3>n lý"
"manufacturing",14,"ch<U+1EBF> t<U+1EA1>o"
"material",14,"v<U+1EAD>t li<U+1EC7>u"
"patients",14,"ngu<U+1EDD>i b<U+1EC7>nh"
"photo",14,"<U+1EA3>nh"
"power",14,"s<U+1EE9>c m<U+1EA1>nh"
"purchasing",14,"thu mua"
"reception",14,"thu nh<U+1EAD>n"
"replacement",14,"thay th<U+1EBF>"
"reservations",14,"d<U+1EB7>t ch<U+1ED7> tru<U+1EDB>c"
"reviews",14,"dánh giá"
"san",14,"san"
"sentences",14,"câu"
"served",14,"ph<U+1EE5>c v<U+1EE5>"
"stated",14,"dã nêu"
"study",14,"nghiên c<U+1EE9>u"
"subscribers",14,"ngu<U+1EDD>i dang ký"
"ten",14,"mu<U+1EDD>i"
"theatre",14,"r<U+1EA1>p hát"
"transport",14,"v<U+1EAD>n chuy<U+1EC3>n"
"valley",14,"thung lung"
"venue",14,"h<U+1ED9>i h<U+1ECD>p"
"wide",14,"r<U+1ED9>ng"
"activities",13,"các ho<U+1EA1>t d<U+1ED9>ng"
"approval",13,"s<U+1EF1> ch<U+1EA5>p thu<U+1EAD>n"
